@relation Dataset

@attribute RoubodeVeículos  REAL
@attribute FurtodeVeículos  REAL
@attribute RoubodeObjetos REAL
@attribute FurtodeObjetos REAL
@attribute PerdadeObjetos REAL
@attribute FurtodeFiosouCabo REAL
@attribute DesaparecimentodePessoas REAL
@attribute AcidentedeTrânsitosemVítima REAL
@attribute AcidentedeTrânsitocomVítima REAL
@attribute InjúriaCalúniaouDifamação REAL
@attribute ViolênciaDoméstica REAL
@attribute Violência-LesãoCorporal REAL
@attribute ViolênciaHomicídio/tentativa REAL
@attribute ViolênciaEstupro REAL
@attribute ViolênciaLatrocinio REAL
@attribute DEPAProteçãoAnimal REAL
@attribute OutrasOcorrências REAL
@attribute Pontuação REAL
@attribute Classificação {Verde,Amarela,Vermelha}

@DATA
4,42,33,219,207,0,12,75,5,160,59,90,14,1,0,1,7,3460,Verde
11,51,34,185,194,0,11,73,1,179,53,95,4,4,0,2,8,3286,Verde
15,48,46,224,200,2,13,98,3,199,49,103,5,0,0,0,6,3775,Vermelha
17,52,61,221,207,1,9,106,3,164,40,128,8,2,0,3,8,3879,Vermelha
8,47,65,229,211,9,15,96,6,165,42,113,11,0,1,1,6,3883,Vermelha
11,41,55,182,212,7,11,66,2,200,49,81,8,0,2,2,6,3383,Vermelha
13,68,70,162,209,0,11,71,3,186,55,85,10,0,0,0,7,3653,Amarela
15,50,49,187,195,4,12,83,6,199,51,89,12,0,1,1,8,3550,Amarela
12,41,54,229,218,2,13,92,2,178,41,108,7,0,0,2,7,3669,Amarela
8,38,52,245,208,6,14,85,3,196,60,106,10,2,0,1,7,3923,Vermelha
9,39,65,233,194,4,12,65,1,195,40,115,6,1,0,1,6,3735,Vermelha
9,31,56,181,215,3,13,110,2,186,47,113,4,1,1,2,8,3469,Verde
17,52,35,204,238,3,2,70,1,183,36,84,2,5,0,0,10,3179,Verde
17,50,51,233,200,6,3,116,7,159,43,118,3,4,2,4,8,3763,Vermelha
7,70,41,198,212,5,11,60,2,154,37,113,12,6,4,4,10,3540,Amarela
13,69,49,209,231,5,10,119,1,206,37,84,5,6,3,4,10,3620,Amarela
20,37,46,178,190,3,2,86,4,189,42,104,3,2,1,2,6,3251,Verde
13,59,59,237,216,7,15,86,0,153,50,84,20,5,3,4,10,4026,Vermelha
19,70,38,247,213,4,10,96,0,155,56,99,9,4,4,1,7,3956,Vermelha
18,59,50,219,192,7,6,98,5,156,65,102,6,4,1,3,8,3889,Vermelha
6,60,33,188,197,7,10,117,5,151,48,91,5,3,2,3,9,3274,Verde
11,40,55,202,201,10,15,65,1,158,62,119,5,6,2,1,6,3811,Vermelha
1,47,46,178,210,1,12,78,0,199,59,82,18,0,0,1,8,3392,Verde
13,40,47,163,216,2,14,107,2,205,56,97,10,4,1,4,7,3501,Amarela
20,41,64,218,193,5,1,105,6,164,66,103,15,1,3,1,7,4015,Vermelha
14,49,30,239,193,9,14,78,2,181,54,103,10,6,2,1,8,3735,Vermelha
5,57,52,221,194,0,1,100,1,157,57,100,2,5,2,1,8,3595,Amarela
0,47,47,169,249,9,8,120,2,157,47,86,17,1,2,4,10,3289,Verde
12,55,48,230,239,3,5,90,4,175,54,87,16,4,3,1,6,3814,Vermelha
4,47,48,214,205,10,13,62,1,160,47,94,14,4,2,4,10,3551,Amarela
11,45,56,196,233,5,2,94,6,162,48,103,7,0,3,2,8,3524,Amarela
18,37,55,168,203,2,3,74,6,205,65,101,13,8,3,4,9,3707,Vermelha
8,48,35,183,243,9,9,106,4,202,39,117,10,1,1,4,5,3359,Verde
3,42,37,238,193,6,1,81,1,177,57,95,13,3,3,1,5,3513,Amarela
19,41,31,190,216,8,0,101,2,169,46,110,4,8,2,1,7,3317,Verde
11,60,66,240,242,3,5,98,6,179,63,119,16,6,4,2,8,4367,Vermelha
3,65,73,197,210,9,13,115,5,173,68,105,20,2,3,3,9,4199,Vermelha
20,42,47,243,190,8,1,81,0,185,40,96,7,5,1,2,7,3588,Amarela
9,39,67,172,199,4,7,97,5,176,70,114,8,7,3,3,9,3848,Vermelha
18,48,50,214,192,5,4,72,5,152,56,92,17,1,2,2,7,3705,Vermelha
16,59,44,180,213,8,8,84,0,205,59,85,3,7,4,0,10,3550,Amarela
11,58,69,175,216,3,13,105,3,154,53,116,10,4,4,4,9,3891,Vermelha
4,55,67,161,232,7,4,67,6,155,56,91,8,8,1,4,6,3516,Amarela
12,40,50,224,200,0,11,95,2,178,60,89,3,3,4,0,10,3688,Amarela
7,38,44,249,236,10,1,100,2,163,61,113,11,8,1,4,7,3860,Vermelha
12,55,32,200,193,1,15,68,8,159,59,84,19,5,1,4,6,3596,Amarela
5,39,69,183,180,5,5,93,3,174,63,93,7,1,2,0,9,3571,Amarela
7,41,61,177,246,2,3,65,6,203,69,97,12,2,3,1,8,3700,Amarela
4,43,62,186,230,8,14,94,8,162,38,88,18,2,4,3,5,3547,Amarela
3,38,31,179,214,10,0,69,4,179,48,113,14,6,2,1,5,3188,Verde
5,65,35,236,188,9,10,104,3,209,63,120,17,6,0,4,6,4000,Vermelha
11,69,65,215,247,5,9,91,5,164,52,99,2,6,2,1,10,3928,Vermelha
14,44,57,222,236,9,15,74,5,188,39,112,18,3,0,2,7,3891,Vermelha
6,42,52,164,219,0,6,61,3,198,51,82,14,7,0,1,9,3303,Verde
4,39,37,219,213,7,7,77,7,159,38,116,10,2,3,1,7,3379,Verde
